Temperature (K),Methane (CH4),Carbon Dioxide (CO2),Carbon Monoxide (CO),"Oxygen, Diatomic (O2)","Water, Gaseous (H2O)","Hydrogen, Diatomic (H2)",Hydroxyl Ion (OH-)
0,-10.024,-9.364,-8.669,-8.682,-9.904,-8.468,-9.171
100,-6.698,-6.456,-5.77,-5.778,-6.615,-5.293,-6.138
200,-3.368,-3.414,-2.858,-2.866,-3.28,-2.77,-2.975
298,0,0,0,0,0,0,0
300,0.066,0.067,0.054,0.054,0.063,0.054,0.054
400,3.861,4.008,2.975,3.029,3.452,2.958,3.033
500,8.2,8.314,5.929,6.088,6.92,5.883,5.991
600,13.13,12.916,8.941,9.247,10.498,8.812,8.941
700,18.635,17.761,12.021,12.502,14.184,11.749,11.903
800,24.675,22.815,15.175,15.841,17.991,14.703,14.878
900,31.205,28.041,18.397,19.246,21.924,17.682,17.887
1000,38.179,33.405,21.686,22.707,25.978,20.686,20.933
1100,45.549,38.894,25.033,26.217,30.167,23.723,24.025
1200,53.27,44.484,28.426,29.765,34.476,26.794,27.158
1300,61.302,50.158,31.865,33.351,38.903,29.907,30.342
1400,69.608,55.907,35.338,36.966,43.447,33.062,33.568
1500,78.153,61.714,38.848,40.61,48.095,36.267,36.84
1600,86.91,67.58,42.384,44.279,52.844,39.522,40.15
1700,95.853,73.492,45.94,47.97,57.685,42.815,43.501
1800,104.96,79.442,49.522,51.689,62.609,46.15,46.89
1900,114.212,85.429,53.124,55.434,67.613,49.522,50.308
2000,123.592,91.45,56.739,59.199,72.689,52.932,53.76
2100,133.087,97.5,60.375,62.986,77.831,56.379,57.241
2200,142.684,103.575,64.019,66.802,83.036,59.86,60.752
2300,152.371,109.671,67.676,70.634,88.295,63.371,64.283
2400,162.141,115.788,71.346,74.492,93.604,66.915,67.839
2500,171.984,121.926,75.023,78.375,98.964,70.492,71.417
2600,181.893,128.085,78.714,82.274,104.37,74.09,75.015
2700,191.862,134.256,82.408,86.199,109.813,77.718,78.634
2800,201.885,140.444,86.115,90.144,115.294,81.37,82.266
2900,211.958,146.645,89.826,94.111,120.813,85.044,85.918
3000,222.076,152.862,93.542,98.098,126.361,88.743,89.584
3200,242.431,165.331,100.998,106.127,137.553,96.199,96.96
3400,262.925,177.849,108.479,114.232,148.854,103.738,104.387
3600,283.536,190.405,115.976,122.399,160.247,111.361,111.859
3800,304.248,202.999,123.495,130.629,171.724,119.064,119.378
4000,325.045,215.635,131.026,138.913,183.28,126.846,126.934
4200,345.918,228.304,138.578,147.248,194.903,134.7,134.528
4400,366.855,241.003,146.147,155.628,206.585,142.624,142.156
4600,387.849,253.734,153.724,164.046,218.325,150.62,149.816
4800,408.893,266.5,161.322,172.502,230.12,158.682,157.502
5000,429.982,279.295,168.929,180.987,241.957,166.808,165.222
5200,451.11,292.123,176.548,189.502,253.839,174.996,172.967
5400,472.274,304.984,184.184,198.037,265.768,183.247,180.736
5600,493.469,317.884,191.832,206.593,277.738,191.556,188.531
5800,514.692,330.821,199.489,215.166,289.746,199.924,196.351
6000,535.942,343.791,207.162,223.756,301.796,208.346,204.192
