Compound,Hf - 100K,Hf - 200K,Hf - 298.15K,Hf - 300K,Hf - 400K,Hf - 500K,Hf - 600K,Hf - 700K,Hf - 800K,Hf - 900K,Hf - 1000K,Hf - 1100K,Hf - 1200K,Hf - 1300K,Hf - 1400K,Hf - 1500K,Hf - 1600K,Hf - 1700K,Hf - 1800K,Hf - 1900K,Hf - 2000K,Hf - 2100K,Hf - 2200K,Hf - 2300K,Hf - 2400K,Hf - 2500K,Hf - 2600K,Hf - 2700K,Hf - 2800K,Hf - 2900K,Hf - 3000K,Hf - 3100K,Hf - 3200K,Hf - 3300K,Hf - 3400K,Hf - 3500K,Hf - 3600K,Hf - 3700K,Hf - 3800K,Hf - 3900K,Hf - 4000K,Hf - 4100K,Hf - 4200K,Hf - 4300K,Hf - 4400K,Hf - 4500K,Hf - 4600K,Hf - 4700K,Hf - 4800K,Hf - 4900K,Hf - 5000K,Hf - 5100K,Hf - 5200K,Hf - 5300K,Hf - 5400K,Hf - 5500K,Hf - 5600K,Hf - 5700K,Hf - 5800K,Hf - 5900K,Hf - 6000K,Cp - 100K,Cp - 200K,Cp - 298.15K,Cp - 300K,Cp - 400K,Cp - 500K,Cp - 600K,Cp - 700K,Cp - 800K,Cp - 900K,Cp - 1000K,Cp - 1100K,Cp - 1200K,Cp - 1300K,Cp - 1400K,Cp - 1500K,Cp - 1600K,Cp - 1700K,Cp - 1800K,Cp - 1900K,Cp - 2000K,Cp - 2100K,Cp - 2200K,Cp - 2300K,Cp - 2400K,Cp - 2500K,Cp - 2600K,Cp - 2700K,Cp - 2800K,Cp - 2900K,Cp - 3000K,Cp - 3100K,Cp - 3200K,Cp - 3300K,Cp - 3400K,Cp - 3500K,Cp - 3600K,Cp - 3700K,Cp - 3800K,Cp - 3900K,Cp - 4000K,Cp - 4100K,Cp - 4200K,Cp - 4300K,Cp - 4400K,Cp - 4500K,Cp - 4600K,Cp - 4700K,Cp - 4800K,Cp - 4900K,Cp - 5000K,Cp - 5100K,Cp - 5200K,Cp - 5300K,Cp - 5400K,Cp - 5500K,Cp - 5600K,Cp - 5700K,Cp - 5800K,Cp - 5900K,Cp - 6000K,Hp – 298.15
H2,-6.779,-3.868,0,0.946,2.025,5.084,8.244,11.499,14.835,18.241,21.703,25.212,28.761,32.344,35.957,39.599,43.266,46.958,50.673,54.413,58.175,61.961,65.769,69.6,73.453,77.328,81.224,85.141,89.079,93.036,97.013,101.009,105.023,109.054,113.102,117.165,121.245,125.339,129.447,133.569,137.705,141.854,146.015,150.188,154.374,158.572,162.783,167.005,171.24,175.488,179.749,184.023,188.311,192.614,196.933,201.267,205.618,209.987,214.375,218.782,223.21,28.154,27.447,28.344,28.836,28.849,29.181,29.26,29.327,29.441,29.624,29.881,30.205,30.581,30.992,31.423,31.861,32.298,32.725,33.139,33.537,33.917,34.28,34.624,34.952,35.263,35.559,35.842,36.111,36.37,36.618,36.856,37.087,37.311,37.528,37.74,37.946,38.149,38.348,38.544,38.738,38.928,39.116,39.301,39.484,39.665,39.842,40.017,40.188,40.355,40.518,40.676,40.829,40.976,41.117,41.252,41.379,41.498,41.609,41.712,41.806,41.89,0
O2,-5.779,-2.868,0,0.054,3.025,6.084,9.244,12.499,15.835,19.241,22.703,26.212,29.761,33.344,36.957,40.599,44.266,47.958,51.673,55.413,59.175,62.961,66.769,70.6,74.453,78.328,82.224,86.141,90.079,94.036,98.013,102.009,106.023,110.054,114.102,118.165,122.245,126.339,130.447,134.569,138.705,142.854,147.015,151.188,155.374,159.572,163.783,168.005,172.24,176.488,180.749,185.023,189.311,193.614,197.933,202.267,206.618,210.987,215.375,219.782,224.21,29.106,29.126,29.376,29.385,30.106,31.091,32.09,32.981,33.733,34.355,34.87,35.3,35.667,35.988,36.277,36.544,36.796,37.04,37.277,37.51,37.741,37.969,38.195,38.419,38.639,38.856,39.068,39.276,39.478,39.674,39.864,40.048,40.225,40.395,40.559,40.716,40.868,41.013,41.154,41.289,41.421,41.549,41.674,41.798,41.92,42.042,42.164,42.287,42.413,42.542,42.675,42.813,42.956,43.105,43.262,43.426,43.599,43.781,43.973,44.175,44.387,0
H2O,-6.615,-3.282,0,0.062,3.452,6.925,10.501,14.192,18.002,21.938,26,30.191,34.506,38.942,43.493,48.151,52.908,57.758,62.693,67.706,72.79,77.941,83.153,88.421,93.741,99.108,104.52,109.973,115.464,120.99,126.549,132.139,137.757,143.403,149.073,154.768,160.485,166.222,171.98,177.757,183.552,189.363,195.191,201.034,206.892,212.764,218.65,224.548,230.458,236.38,242.313,248.258,254.215,260.184,266.164,272.157,278.161,284.177,290.204,296.244,302.295,33.299,33.349,33.59,33.596,34.262,35.226,36.325,37.495,38.721,39.987,41.268,42.536,43.768,44.945,46.054,47.09,48.05,48.935,49.749,50.496,51.18,51.823,52.408,52.947,53.444,53.904,54.329,54.723,55.089,55.43,55.748,56.044,56.323,56.583,56.828,57.058,57.276,57.48,57.675,57.859,58.033,58.199,58.357,58.507,58.65,58.787,58.918,59.044,59.164,59.275,59.39,59.509,59.628,59.746,59.864,59.982,60.1,60.218,60.335,60.453,60.571,-228.582
CO2,-6.456,-3.414,0,0.069,4.003,8.305,12.907,17.754,22.806,28.03,33.397,38.884,44.473,50.148,55.896,61.705,67.569,73.48,79.431,85.419,91.439,97.488,103.562,109.66,115.779,121.917,128.073,134.246,140.433,146.636,152.852,159.081,165.321,171.573,177.836,184.109,190.393,196.686,202.989,209.301,215.622,221.951,228.29,234.637,240.991,247.354,253.725,260.103,266.489,272.882,279.283,285.691,292.109,298.535,304.971,311.416,317.87,324.334,330.806,337.288,343.779,29.208,32.359,37.129,37.221,41.325,44.627,47.321,49.564,51.434,52.999,54.308,55.409,56.342,57.137,57.802,58.379,58.886,59.317,59.701,60.049,60.35,60.622,60.865,61.086,61.287,61.471,61.647,61.802,61.952,62.095,62.229,62.347,62.462,62.573,62.681,62.785,62.884,62.98,63.074,63.166,63.254,63.341,63.426,63.509,63.588,63.667,63.745,63.823,63.893,63.968,64.046,64.128,64.22,64.312,64.404,64.496,64.588,64.68,64.772,64.865,64.957,0
F2,-5.456,-2.414,0,1.069,5.003,9.305,13.907,18.754,23.806,29.03,34.397,39.884,45.473,51.148,56.896,62.705,68.569,74.48,80.431,86.419,92.439,98.488,104.562,110.66,116.779,122.917,129.073,135.246,141.433,147.636,153.852,160.081,166.321,172.573,178.836,185.109,191.393,197.686,203.989,210.301,216.622,222.951,229.29,235.637,241.991,248.354,254.725,261.103,267.489,273.882,280.283,286.691,293.109,299.535,305.971,312.416,318.87,325.334,331.806,338.288,344.779,29.114,29.685,31.302,31.336,32.992,34.255,35.166,35.832,36.336,36.732,37.057,37.334,37.579,37.802,38.008,38.199,38.374,38.53,38.663,38.77,38.846,38.889,38.895,38.864,38.795,38.69,38.549,38.375,38.17,37.939,37.683,37.406,37.111,36.802,36.482,36.152,35.817,35.477,35.135,34.793,34.452,34.114,33.78,33.45,33.125,32.807,32.495,32.191,31.893,31.603,31.321,31.046,30.779,30.519,30.268,30.023,29.787,29.557,29.335,29.119,28.911,0
F2O2,35.33,32.61,31.61,36.33,33.61,32.61,37.33,34.61,33.61,38.33,35.61,34.61,39.33,36.61,35.61,40.33,37.61,36.61,41.33,38.61,37.61,42.33,39.61,38.61,43.33,40.61,39.61,44.33,41.61,40.61,45.33,42.61,41.61,46.33,43.61,42.61,47.33,44.61,43.61,48.33,45.61,44.61,49.33,46.61,45.61,50.33,47.61,46.61,51.33,48.61,47.61,52.33,49.61,48.61,53.33,50.61,49.61,54.33,51.61,50.61,55.33,56.33,59.685,60.685,61.685,62.685,63.685,64.685,65.685,66.685,67.685,68.685,69.685,70.685,71.685,72.685,73.685,74.685,75.685,76.685,77.685,78.685,79.685,80.685,81.685,82.685,83.685,84.685,85.685,86.685,87.685,88.685,89.685,90.685,91.685,92.685,93.685,94.685,95.685,96.685,97.685,98.685,99.685,100.685,101.685,102.685,103.685,104.685,105.685,106.685,107.685,108.685,109.685,110.685,111.685,112.685,113.685,114.685,115.685,116.685,117.685,118.685,31.61
N2O4,14.011,10.749,9.079,9.06,8.523,8.769,9.542,10.667,12.03,13.554,15.189,16.899,18.661,20.456,22.272,24.097,25.922,27.742,29.55,31.34,33.11,34.855,36.573,38.262,39.92,41.545,43.138,44.698,46.224,47.718,49.178,50.606,52.002,53.368,54.703,56.01,57.288,58.538,59.762,60.96,62.132,63.279,64.402,65.501,66.575,67.626,68.653,69.654,70.63,71.581,72.504,73.4,74.267,75.104,75.908,76.68,77.417,78.116,78.776,79.394,79.968,46.262,63.206,77.256,77.487,88.521,97.204,104.012,109.314,113.439,116.665,119.208,121.235,122.867,124.196,125.29,126.198,126.959,127.603,128.152,128.623,129.03,129.385,129.694,129.967,130.208,130.421,130.612,130.783,130.936,131.074,131.2,131.313,131.417,131.511,131.597,131.677,131.75,131.817,131.879,131.936,131.99,132.039,132.085,132.128,132.168,132.206,132.241,132.274,132.305,132.334,132.361,132.387,132.411,132.434,132.456,132.476,132.496,132.514,132.532,132.549,132.564,9.079
H2O2,-132.382,-134.133,-136.106,-136.133,-137.417,-138.341,-139.011,-139.515,-139.912,-140.225,-140.475,-140.673,-140.827,-140.944,-141.031,-141.093,-131.382,-133.133,-135.106,-135.133,-136.417,-137.341,-138.011,-138.515,-138.912,-139.225,-139.475,-139.673,-139.827,-139.944,-140.031,-140.093,-130.382,-132.133,-134.106,-134.133,-135.417,-136.341,-137.011,-137.515,-137.912,-138.225,-138.475,-138.673,-138.827,-138.944,-139.031,-139.093,-129.382,-131.133,-133.106,-133.133,-134.417,-135.341,-136.011,-136.515,-136.912,-137.225,-137.475,-137.673,-137.827,33.526,36.874,43.116,43.221,48.451,52.551,55.689,57.99,59.831,61.463,62.844,64.141,65.312,66.4,67.404,68.325,69.325,70.325,71.325,72.325,73.325,74.325,75.325,76.325,77.325,78.325,79.325,80.325,81.325,82.325,83.325,84.325,85.325,86.325,87.325,88.325,89.325,90.325,91.325,92.325,93.325,94.325,95.325,96.325,97.325,98.325,99.325,100.325,101.325,102.325,103.325,104.325,105.325,106.325,107.325,108.325,109.325,110.325,111.325,112.325,113.325,-136.106
O3,144.318,143.34,142.674,142.665,142.37,142.34,142.462,142.665,142.907,143.169,143.439,143.711,143.98,144.245,144.502,144.75,144.987,145.211,145.419,145.611,145.784,145.938,146.072,146.185,146.276,146.346,146.393,146.419,146.424,146.408,146.371,146.314,146.238,146.144,146.033,145.905,145.761,145.601,145.427,145.239,145.038,144.823,144.597,144.358,144.106,143.844,143.568,143.281,142.981,142.667,142.34,141.999,141.643,141.27,140.88,140.472,140.045,139.596,139.126,138.631,138.111,33.292,35.058,39.238,39.33,43.744,47.262,49.857,51.752,53.154,54.208,55.024,55.66,56.174,56.593,56.948,57.245,57.501,57.722,57.919,58.095,58.25,58.396,58.526,58.647,58.764,58.869,58.969,59.066,59.158,59.245,59.329,59.409,59.488,59.563,59.639,59.714,59.781,59.852,59.919,59.986,60.053,60.12,60.183,60.245,60.308,60.371,60.434,60.492,60.555,60.614,60.672,60.731,60.789,60.848,60.906,60.965,61.024,61.078,61.137,61.191,61.25,142.674
HNO3,-128.465,-131.888,-134.306,-134.343,-135.858,-136.66,-136.963,-136.918,-136.627,-136.154,-135.544,-134.829,-134.032,-133.172,-132.263,-131.318,-130.347,-129.358,-128.361,-127.36,-126.362,-125.37,-124.389,-123.423,-122.472,-121.541,-120.629,-119.739,-118.871,-118.026,-117.205,-116.407,-115.633,-114.882,-114.155,-113.452,-112.771,-112.114,-111.479,-110.866,-110.276,-109.708,-109.162,-108.638,-108.136,-107.657,-107.199,-106.765,-106.354,-105.966,-105.603,-105.264,-104.951,-104.665,-104.406,-104.174,-103.973,-103.801,-103.662,-103.555,-103.482,33.92,42.298,53.336,53.534,63.19,70.836,76.765,81.382,85.039,87.994,90.425,92.455,94.172,95.636,96.895,97.984,98.931,99.758,100.485,101.125,101.692,102.196,102.645,103.047,103.407,103.732,104.025,104.291,104.532,104.751,104.952,105.135,105.303,105.457,105.599,105.731,105.852,105.964,106.069,106.165,106.256,106.34,106.418,106.492,106.56,106.625,106.685,106.742,106.796,106.846,106.894,106.938,106.981,107.021,107.059,107.095,107.129,107.162,107.193,107.222,107.25,-134.306
